Column1,Column2,Column3
POINT (135.492464 34.737694 0.0),ëÂç„ésóßã{å¥íÜäwçZ,770.3 m from êVëÂç„
POINT (135.507015 34.732405 0.0),è¨íÜàÍä—çZÇﬁÇ≠ÇÃÇ´äwâÄÅ@ëÂç„ésóßå[î≠è¨äwçZÅEëÂç„ésóßíÜìáíÜäwçZ,776.0 m from êVëÂç„
POINT (135.501528 34.72628 0.0),îÚíπñ¢óàçÇìôäwçZ,784.5 m from êVëÂç„
POINT (135.498596 34.726637 0.0),êºíÜìáìÏï˚,
"POLYGON ((135.498596 34.733832, 135.497033 34.733716, 135.49552 34.733373, 135.494106 34.732813, 135.492836 34.732055, 135.491752 34.731123, 135.490887 34.730046, 135.49027 34.72886, 135.489921 34.727602, 135.489851 34.726314, 135.490062 34.725036, 135.490547 34.723809, 135.491291 34.722673, 135.492269 34.721665, 135.493451 34.720816, 135.494798 34.720155, 135.496267 34.719702, 135.497811 34.719471, 135.499381 34.719471, 135.500925 34.719702, 135.502394 34.720155, 135.503741 34.720816, 135.504923 34.721665, 135.505901 34.722673, 135.506645 34.723809, 135.50713 34.725036, 135.507341 34.726314, 135.507271 34.727602, 135.506922 34.72886, 135.506305 34.730046, 135.50544 34.731123, 135.504356 34.732055, 135.503086 34.732813, 135.501672 34.733373, 135.500159 34.733716, 135.498596 34.733832))",êºíÜìáìÏï˚ 800m radius,
POINT (135.501528 34.72628 0.0),îÚíπñ¢óàçÇìôäwçZ,270.9 m from êºíÜìáìÏï˚
POINT (135.492377 34.709915 0.0),íÜí√,
"POLYGON ((135.492377 34.71711, 135.490814 34.716994, 135.489302 34.716651, 135.487888 34.716091, 135.486618 34.715333, 135.485534 34.714401, 135.48467 34.713324, 135.484053 34.712138, 135.483704 34.71088, 135.483634 34.709592, 135.483845 34.708314, 135.48433 34.707087, 135.485073 34.705951, 135.486051 34.704943, 135.487233 34.704094, 135.48858 34.703433, 135.490049 34.70298, 135.491593 34.702749, 135.493161 34.702749, 135.494705 34.70298, 135.496174 34.703433, 135.497521 34.704094, 135.498703 34.704943, 135.499681 34.705951, 135.500424 34.707087, 135.500909 34.708314, 135.50112 34.709592, 135.50105 34.71088, 135.500701 34.712138, 135.500084 34.713324, 135.49922 34.714401, 135.498136 34.715333, 135.496866 34.716091, 135.495452 34.716651, 135.49394 34.716994, 135.492377 34.71711))",íÜí√ 800m radius,
POINT (135.500597 34.711329 0.0),ÉNÉâÅ[ÉNãLîOçëç€çÇìôäwçZ,767.7 m from íÜí√
POINT (135.497588 34.703413 0.0),î~ìc,
"POLYGON ((135.497588 34.710608, 135.496025 34.710492, 135.494513 34.710149, 135.493099 34.709589, 135.49183 34.708831, 135.490746 34.707899, 135.489881 34.706822, 135.489265 34.705636, 135.488916 34.704378, 135.488845 34.70309, 135.489056 34.701812, 135.489541 34.700585, 135.490285 34.699449, 135.491263 34.698441, 135.492444 34.697592, 135.493791 34.696931, 135.49526 34.696478, 135.496804 34.696247, 135.498372 34.696247, 135.499916 34.696478, 135.501385 34.696931, 135.502732 34.697592, 135.503913 34.698441, 135.504891 34.699449, 135.505635 34.700585, 135.50612 34.701812, 135.506331 34.70309, 135.50626 34.704378, 135.505911 34.705636, 135.505295 34.706822, 135.50443 34.707899, 135.503346 34.708831, 135.502077 34.709589, 135.500663 34.710149, 135.499151 34.710492, 135.497588 34.710608))",î~ìc 800m radius,
POINT (135.501375 34.692491 0.0),óÑâÆã¥,
"POLYGON ((135.501375 34.699686, 135.499812 34.69957, 135.4983 34.699227, 135.496887 34.698667, 135.495618 34.697909, 135.494533 34.696977, 135.493669 34.6959, 135.493053 34.694714, 135.492704 34.693456, 135.492634 34.692168, 135.492844 34.69089, 135.493329 34.689663, 135.494073 34.688527, 135.495051 34.687519, 135.496232 34.68667, 135.497579 34.686009, 135.499047 34.685556, 135.500591 34.685325, 135.502159 34.685325, 135.503703 34.685556, 135.505171 34.686009, 135.506518 34.68667, 135.507699 34.687519, 135.508677 34.688527, 135.509421 34.689663, 135.509906 34.69089, 135.510116 34.692168, 135.510046 34.693456, 135.509697 34.694714, 135.509081 34.6959, 135.508217 34.696977, 135.507132 34.697909, 135.505863 34.698667, 135.50445 34.699227, 135.502938 34.69957, 135.501375 34.699686))",óÑâÆã¥ 800m radius,
POINT (135.50067 34.683542 0.0),ñ{í¨,
"POLYGON ((135.50067 34.690737, 135.499108 34.690621, 135.497595 34.690278, 135.496182 34.689718, 135.494913 34.68896, 135.493829 34.688028, 135.492965 34.686951, 135.492349 34.685765, 135.492 34.684507, 135.49193 34.683219, 135.49214 34.681941, 135.492625 34.680714, 135.493368 34.679578, 135.494346 34.67857, 135.495528 34.677721, 135.496874 34.67706, 135.498343 34.676607, 135.499886 34.676376, 135.501454 34.676376, 135.502997 34.676607, 135.504466 34.67706, 135.505812 34.677721, 135.506994 34.67857, 135.507972 34.679578, 135.508715 34.680714, 135.5092 34.681941, 135.50941 34.683219, 135.50934 34.684507, 135.508991 34.685765, 135.508375 34.686951, 135.507511 34.688028, 135.506427 34.68896, 135.505158 34.689718, 135.503745 34.690278, 135.502232 34.690621, 135.50067 34.690737))",ñ{í¨ 800m radius,
POINT (135.499666 34.683819 0.0),ëäà§íÜäwçZ,96.8 m from ñ{í¨
POINT (135.499293 34.683804 0.0),ëäà§çÇìôäwçZ,129.2 m from ñ{í¨
POINT (135.499201 34.675354 0.0),êSç÷ã¥,
"POLYGON ((135.499201 34.682549, 135.497639 34.682433, 135.496127 34.68209, 135.494714 34.68153, 135.493445 34.680772, 135.492361 34.67984, 135.491497 34.678763, 135.490881 34.677577, 135.490532 34.676319, 135.490461 34.675031, 135.490672 34.673753, 135.491157 34.672526, 135.4919 34.67139, 135.492878 34.670382, 135.494059 34.669533, 135.495406 34.668872, 135.496874 34.668419, 135.498417 34.668188, 135.499985 34.668188, 135.501528 34.668419, 135.502996 34.668872, 135.504343 34.669533, 135.505524 34.670382, 135.506502 34.67139, 135.507245 34.672526, 135.50773 34.673753, 135.507941 34.675031, 135.50787 34.676319, 135.507521 34.677577, 135.506905 34.678763, 135.506041 34.67984, 135.504957 34.680772, 135.503688 34.68153, 135.502275 34.68209, 135.500763 34.682433, 135.499201 34.682549))",êSç÷ã¥ 800m radius,
POINT (135.501775 34.663663 0.0),Ç»ÇÒÇŒ,
"POLYGON ((135.501775 34.670858, 135.500213 34.670742, 135.498701 34.670399, 135.497288 34.669839, 135.49602 34.669081, 135.494936 34.668149, 135.494072 34.667072, 135.493456 34.665886, 135.493107 34.664628, 135.493037 34.66334, 135.493247 34.662062, 135.493732 34.660835, 135.494475 34.659699, 135.495453 34.658691, 135.496634 34.657842, 135.49798 34.657181, 135.499448 34.656728, 135.500991 34.656497, 135.502559 34.656497, 135.504102 34.656728, 135.50557 34.657181, 135.506916 34.657842, 135.508097 34.658691, 135.509075 34.659699, 135.509818 34.660835, 135.510303 34.662062, 135.510513 34.66334, 135.510443 34.664628, 135.510094 34.665886, 135.509478 34.667072, 135.508614 34.668149, 135.50753 34.669081, 135.506262 34.669839, 135.504849 34.670399, 135.503337 34.670742, 135.501775 34.670858))",Ç»ÇÒÇŒ 800m radius,
POINT (135.50374 34.658636 0.0),ëÂç„ésóßì˙ñ{ã¥íÜäwçZ,587.2 m from Ç»ÇÒÇŒ
POINT (135.497868 34.656242 0.0),ëÂçëí¨,
"POLYGON ((135.497868 34.663437, 135.496306 34.663321, 135.494794 34.662978, 135.493382 34.662418, 135.492113 34.66166, 135.491029 34.660728, 135.490166 34.659651, 135.489549 34.658465, 135.489201 34.657207, 135.48913 34.655919, 135.489341 34.654641, 135.489826 34.653414, 135.490569 34.652278, 135.491547 34.65127, 135.492727 34.650421, 135.494073 34.64976, 135.495541 34.649307, 135.497084 34.649076, 135.498652 34.649076, 135.500195 34.649307, 135.501663 34.64976, 135.503009 34.650421, 135.504189 34.65127, 135.505167 34.652278, 135.50591 34.653414, 135.506395 34.654641, 135.506606 34.655919, 135.506535 34.657207, 135.506187 34.658465, 135.50557 34.659651, 135.504707 34.660728, 135.503623 34.66166, 135.502354 34.662418, 135.500942 34.662978, 135.49943 34.663321, 135.497868 34.663437))",ëÂçëí¨ 800m radius,
POINT (135.500176 34.653306 0.0),ëÂç„ésóßñÿí√íÜäwçZ,388.8 m from ëÂçëí¨
POINT (135.498651 34.652488 0.0),ëÂç„ï{óßç°ã{çÇìôäwçZ,423.5 m from ëÂçëí¨
POINT (135.50374 34.658636 0.0),ëÂç„ésóßì˙ñ{ã¥íÜäwçZ,599.4 m from ëÂçëí¨
POINT (135.496604 34.649569 0.0),ëÂç„ï{óßç°ã{çHâ»çÇìôäwçZ,751.0 m from ëÂçëí¨
POINT (135.504546 34.64879 0.0),ìÆï®âÄëO,
"POLYGON ((135.504546 34.655985, 135.502984 34.655869, 135.501473 34.655526, 135.50006 34.654966, 135.498792 34.654208, 135.497708 34.653276, 135.496844 34.652199, 135.496228 34.651013, 135.495879 34.649755, 135.495809 34.648467, 135.49602 34.647189, 135.496504 34.645962, 135.497248 34.644826, 135.498225 34.643818, 135.499406 34.642969, 135.500752 34.642308, 135.50222 34.641855, 135.503762 34.641624, 135.50533 34.641624, 135.506872 34.641855, 135.50834 34.642308, 135.509686 34.642969, 135.510867 34.643818, 135.511844 34.644826, 135.512588 34.645962, 135.513072 34.647189, 135.513283 34.648467, 135.513213 34.649755, 135.512864 34.651013, 135.512248 34.652199, 135.511384 34.653276, 135.5103 34.654208, 135.509032 34.654966, 135.507619 34.655526, 135.506108 34.655869, 135.504546 34.655985))",ìÆï®âÄëO 800m radius,
POINT (135.498594 34.648923 0.0),ëÂç„ésóßç°ã{íÜäwçZ,544.6 m from ìÆï®âÄëO
POINT (135.500176 34.653306 0.0),ëÂç„ésóßñÿí√íÜäwçZ,641.8 m from ìÆï®âÄëO
POINT (135.498651 34.652488 0.0),ëÂç„ï{óßç°ã{çÇìôäwçZ,678.1 m from ìÆï®âÄëO
POINT (135.496604 34.649569 0.0),ëÂç„ï{óßç°ã{çHâ»çÇìôäwçZ,731.7 m from ìÆï®âÄëO
POINT (135.515241 34.647343 0.0),ìVâ§éõ,
"POLYGON ((135.515241 34.654538, 135.513679 34.654422, 135.512168 34.654079, 135.510755 34.653519, 135.509487 34.652761, 135.508403 34.651829, 135.507539 34.650752, 135.506923 34.649566, 135.506575 34.648308, 135.506504 34.64702, 135.506715 34.645742, 135.5072 34.644515, 135.507943 34.643379, 135.50892 34.642371, 135.510101 34.641522, 135.511447 34.640861, 135.512915 34.640408, 135.514457 34.640177, 135.516025 34.640177, 135.517567 34.640408, 135.519035 34.640861, 135.520381 34.641522, 135.521562 34.642371, 135.522539 34.643379, 135.523282 34.644515, 135.523767 34.645742, 135.523978 34.64702, 135.523907 34.648308, 135.523559 34.649566, 135.522943 34.650752, 135.522079 34.651829, 135.520995 34.652761, 135.519727 34.653519, 135.518314 34.654079, 135.516803 34.654422, 135.515241 34.654538))",ìVâ§éõ 800m radius,
POINT (135.517708 34.647901 0.0),YMCAäwâ@çÇìôäwçZ,234.0 m from ìVâ§éõ
POINT (135.517512 34.64995 0.0),ëÂç„ésóßìVâ§éõíÜäwçZ,356.6 m from ìVâ§éõ
POINT (135.520771 34.646887 0.0),ëÂç„ã≥àÁëÂäw ïçëÆìVâ§éõíÜäwçZ,508.4 m from ìVâ§éõ
POINT (135.521036 34.647093 0.0),ëÂç„ã≥àÁëÂäwïçëÆçÇìôäwçZìVâ§éõçZé…,530.9 m from ìVâ§éõ
POINT (135.522717 34.650637 0.0),éÑóßÉNÉâÅ[ÉNãLîOçëç€çÇìôäwçZëÂç„ï™é∫,775.8 m from ìVâ§éõ
POINT (135.514871 34.654419 0.0),élìVâ§éõçÇìôäwçZÅEíÜäwçZ,787.5 m from ìVâ§éõ
POINT (135.516925 34.633126 0.0),è∫òaí¨,
"POLYGON ((135.516925 34.640321, 135.515364 34.640205, 135.513852 34.639862, 135.51244 34.639302, 135.511172 34.638544, 135.510088 34.637612, 135.509225 34.636535, 135.508609 34.635349, 135.50826 34.634091, 135.50819 34.632803, 135.5084 34.631525, 135.508885 34.630298, 135.509628 34.629162, 135.510605 34.628154, 135.511786 34.627305, 135.513131 34.626644, 135.514599 34.626191, 135.516141 34.62596, 135.517709 34.62596, 135.519251 34.626191, 135.520719 34.626644, 135.522064 34.627305, 135.523245 34.628154, 135.524222 34.629162, 135.524965 34.630298, 135.52545 34.631525, 135.52566 34.632803, 135.52559 34.634091, 135.525241 34.635349, 135.524625 34.636535, 135.523762 34.637612, 135.522678 34.638544, 135.52141 34.639302, 135.519998 34.639862, 135.518486 34.640205, 135.516925 34.640321))",è∫òaí¨ 800m radius,
POINT (135.515024 34.635138 0.0),ï{óßà¢î{ñÏçÇìôäwçZ,283.4 m from è∫òaí¨
POINT (135.517308 34.62918 0.0),éÑóßìçéRäwâ@çÇìôäwçZíÜäwçZ,440.2 m from è∫òaí¨
POINT (135.518502 34.628903 0.0),ésóßà¢î{ñÏíÜäwçZ,491.2 m from è∫òaí¨
POINT (135.521561 34.63542 0.0),éÑóßñæèÚäwâ@çÇìôäwçZ,495.0 m from è∫òaí¨
POINT (135.51861 34.637969 0.0),ëÂç„ésóßçHå|çÇìôäwçZ,560.2 m from è∫òaí¨
POINT (135.519635 34.637735 0.0),ëÂç„ésóßëÊìÒçHå|çÇìôäwçZ,569.4 m from è∫òaí¨
POINT (135.521019 34.627462 0.0),ëÂç„ésóßè∫òaíÜäwçZ,732.8 m from è∫òaí¨
POINT (135.515157 34.621554 0.0),êºìcï”,
"POLYGON ((135.515157 34.628749, 135.513596 34.628633, 135.512085 34.62829, 135.510673 34.62773, 135.509404 34.626972, 135.508321 34.62604, 135.507458 34.624963, 135.506842 34.623777, 135.506493 34.622519, 135.506423 34.621231, 135.506634 34.619953, 135.507118 34.618726, 135.507861 34.61759, 135.508838 34.616582, 135.510019 34.615733, 135.511364 34.615072, 135.512831 34.614619, 135.514373 34.614388, 135.515941 34.614388, 135.517483 34.614619, 135.51895 34.615072, 135.520295 34.615733, 135.521476 34.616582, 135.522453 34.61759, 135.523196 34.618726, 135.52368 34.619953, 135.523891 34.621231, 135.523821 34.622519, 135.523472 34.623777, 135.522856 34.624963, 135.521993 34.62604, 135.52091 34.626972, 135.519641 34.62773, 135.518229 34.62829, 135.516718 34.628633, 135.515157 34.628749))",êºìcï” 800m radius,
POINT (135.512434 34.615555 0.0),éÑóßëÂç„äwå|çÇìôäwçZ,712.1 m from êºìcï”
POINT (135.51249 34.610852 0.0),í∑ãè,
"POLYGON ((135.51249 34.618047, 135.510929 34.617931, 135.509418 34.617588, 135.508006 34.617028, 135.506738 34.61627, 135.505655 34.615338, 135.504792 34.614261, 135.504176 34.613075, 135.503827 34.611817, 135.503757 34.610529, 135.503968 34.609251, 135.504452 34.608024, 135.505195 34.606888, 135.506172 34.60588, 135.507352 34.605031, 135.508697 34.60437, 135.510165 34.603917, 135.511706 34.603686, 135.513274 34.603686, 135.514815 34.603917, 135.516283 34.60437, 135.517628 34.605031, 135.518808 34.60588, 135.519785 34.606888, 135.520528 34.608024, 135.521012 34.609251, 135.521223 34.610529, 135.521153 34.611817, 135.520804 34.613075, 135.520188 34.614261, 135.519325 34.615338, 135.518242 34.61627, 135.516974 34.617028, 135.515562 34.617588, 135.514051 34.617931, 135.51249 34.618047))",í∑ãè 800m radius,
POINT (135.512434 34.615555 0.0),éÑóßëÂç„äwå|çÇìôäwçZ,523.0 m from í∑ãè
POINT (135.507298 34.613781 0.0),ésóßëÂóÃíÜäwçZ,576.0 m from í∑ãè
POINT (135.512178 34.604967 0.0),ëÂç„ésóßâ‰ë∑éqíÜäwçZ,655.0 m from í∑ãè
POINT (135.512133 34.604625 0.0),ésóßâ‰ë∑éqíÜäwçZ,693.2 m from í∑ãè
POINT (135.512785 34.599082 0.0),Ç†Ç—Ç±,
"POLYGON ((135.512785 34.606277, 135.511224 34.606161, 135.509714 34.605818, 135.508302 34.605258, 135.507034 34.6045, 135.505951 34.603568, 135.505088 34.602491, 135.504472 34.601305, 135.504124 34.600047, 135.504053 34.598759, 135.504264 34.597481, 135.504748 34.596254, 135.505491 34.595118, 135.506468 34.59411, 135.507648 34.593261, 135.508993 34.5926, 135.51046 34.592147, 135.512002 34.591916, 135.513568 34.591916, 135.51511 34.592147, 135.516577 34.5926, 135.517922 34.593261, 135.519102 34.59411, 135.520079 34.595118, 135.520822 34.596254, 135.521306 34.597481, 135.521517 34.598759, 135.521446 34.600047, 135.521098 34.601305, 135.520482 34.602491, 135.519619 34.603568, 135.518536 34.6045, 135.517268 34.605258, 135.515856 34.605818, 135.514346 34.606161, 135.512785 34.606277))",Ç†Ç—Ç± 800m radius,
POINT (135.516441 34.595237 0.0),ï{óßç„ìÏçÇìôäwçZ,542.9 m from Ç†Ç—Ç±
POINT (135.512133 34.604625 0.0),ésóßâ‰ë∑éqíÜäwçZ,619.2 m from Ç†Ç—Ç±
POINT (135.512178 34.604967 0.0),ëÂç„ésóßâ‰ë∑éqíÜäwçZ,656.7 m from Ç†Ç—Ç±
POINT (135.511451 34.593211 0.0),ésóßâ‰ë∑éqìÏíÜäwçZ,664.1 m from Ç†Ç—Ç±
POINT (135.519246 34.602986 0.0),ésóßìåâ‰ë∑éqíÜäwçZ,733.6 m from Ç†Ç—Ç±
POINT (135.516411 34.582282 0.0),ñkâ‘ìc,
"POLYGON ((135.516411 34.589477, 135.514851 34.589361, 135.51334 34.589018, 135.511929 34.588458, 135.510661 34.5877, 135.509579 34.586768, 135.508716 34.585691, 135.5081 34.584505, 135.507751 34.583247, 135.507681 34.581959, 135.507892 34.580681, 135.508376 34.579454, 135.509118 34.578318, 135.510095 34.57731, 135.511275 34.576461, 135.51262 34.5758, 135.514086 34.575347, 135.515628 34.575116, 135.517194 34.575116, 135.518736 34.575347, 135.520202 34.5758, 135.521547 34.576461, 135.522727 34.57731, 135.523704 34.578318, 135.524446 34.579454, 135.52493 34.580681, 135.525141 34.581959, 135.525071 34.583247, 135.524722 34.584505, 135.524106 34.585691, 135.523243 34.586768, 135.522161 34.5877, 135.520893 34.588458, 135.519482 34.589018, 135.517971 34.589361, 135.516411 34.589477))",ñkâ‘ìc 800m radius,
POINT (135.524761 34.581821 0.0),èºå¥ésóßëÊå‹íÜäwçZ,766.1 m from ñkâ‘ìc
POINT (135.525052 34.581711 0.0),ésóßèºå¥ëÊå‹íÜäwçZ,793.6 m from ñkâ‘ìc
POINT (135.515366 34.568486 0.0),êVã‡â™,
"POLYGON ((135.515366 34.575681, 135.513806 34.575565, 135.512296 34.575222, 135.510884 34.574662, 135.509617 34.573904, 135.508535 34.572972, 135.507672 34.571895, 135.507056 34.570709, 135.506708 34.569451, 135.506638 34.568163, 135.506848 34.566885, 135.507332 34.565658, 135.508075 34.564522, 135.509051 34.563514, 135.510231 34.562665, 135.511575 34.562004, 135.513042 34.561551, 135.514583 34.56132, 135.516149 34.56132, 135.51769 34.561551, 135.519157 34.562004, 135.520501 34.562665, 135.521681 34.563514, 135.522657 34.564522, 135.5234 34.565658, 135.523884 34.566885, 135.524094 34.568163, 135.524024 34.569451, 135.523676 34.570709, 135.52306 34.571895, 135.522197 34.572972, 135.521115 34.573904, 135.519848 34.574662, 135.518436 34.575222, 135.516926 34.575565, 135.515366 34.575681))",êVã‡â™ 800m radius,
POINT (135.511203 34.570867 0.0),ç‰ésóßã‡â™ñkíÜäwçZ,464.1 m from êVã‡â™
POINT (135.522826 34.567314 0.0),ç‰ésóßëÂêÚè¨äwçZ ëÂêÚíÜäwçZ,695.4 m from êVã‡â™
POINT (135.506237 34.556304 0.0),Ç»Ç©Ç‡Ç∏,
"POLYGON ((135.506237 34.563499, 135.504677 34.563383, 135.503167 34.56304, 135.501756 34.56248, 135.500489 34.561722, 135.499407 34.56079, 135.498544 34.559713, 135.497928 34.558527, 135.49758 34.557269, 135.49751 34.555981, 135.49772 34.554703, 135.498204 34.553476, 135.498947 34.55234, 135.499923 34.551332, 135.501103 34.550483, 135.502447 34.549822, 135.503913 34.549369, 135.505454 34.549138, 135.50702 34.549138, 135.508561 34.549369, 135.510027 34.549822, 135.511371 34.550483, 135.512551 34.551332, 135.513527 34.55234, 135.51427 34.553476, 135.514754 34.554703, 135.514964 34.555981, 135.514894 34.557269, 135.514546 34.558527, 135.51393 34.559713, 135.513067 34.56079, 135.511985 34.561722, 135.510718 34.56248, 135.509307 34.56304, 135.507797 34.563383, 135.506237 34.563499))",Ç»Ç©Ç‡Ç∏ 800m radius,
POINT (135.578834 34.749905 0.0),ëÂì˙,
"POLYGON ((135.578834 34.7571, 135.57727 34.756984, 135.575757 34.756641, 135.574343 34.756081, 135.573073 34.755323, 135.571988 34.754391, 135.571123 34.753314, 135.570506 34.752128, 135.570157 34.75087, 135.570087 34.749582, 135.570297 34.748304, 135.570783 34.747077, 135.571527 34.745941, 135.572505 34.744933, 135.573688 34.744084, 135.575035 34.743423, 135.576505 34.74297, 135.578049 34.742739, 135.579619 34.742739, 135.581163 34.74297, 135.582633 34.743423, 135.58398 34.744084, 135.585163 34.744933, 135.586141 34.745941, 135.586885 34.747077, 135.587371 34.748304, 135.587581 34.749582, 135.587511 34.75087, 135.587162 34.752128, 135.586545 34.753314, 135.58568 34.754391, 135.584595 34.755323, 135.583325 34.756081, 135.581911 34.756641, 135.580398 34.756984, 135.578834 34.7571))",ëÂì˙ 800m radius,
POINT (135.564383 34.738467 0.0),éÁå˚,
"POLYGON ((135.564383 34.745662, 135.56282 34.745546, 135.561306 34.745203, 135.559892 34.744643, 135.558622 34.743885, 135.557538 34.742953, 135.556673 34.741876, 135.556056 34.74069, 135.555707 34.739432, 135.555637 34.738144, 135.555848 34.736866, 135.556333 34.735639, 135.557077 34.734503, 135.558055 34.733495, 135.559237 34.732646, 135.560585 34.731985, 135.562054 34.731532, 135.563598 34.731301, 135.565168 34.731301, 135.566712 34.731532, 135.568181 34.731985, 135.569529 34.732646, 135.570711 34.733495, 135.571689 34.734503, 135.572433 34.735639, 135.572918 34.736866, 135.573129 34.738144, 135.573059 34.739432, 135.57271 34.74069, 135.572093 34.741876, 135.571228 34.742953, 135.570144 34.743885, 135.568874 34.744643, 135.56746 34.745203, 135.565946 34.745546, 135.564383 34.745662))",éÁå˚ 800m radius,
POINT (135.56318 34.741106 0.0),ëÂç„ï{óßà∞ä‘çÇìôäwçZ,313.3 m from éÁå˚
POINT (135.560988 34.737654 0.0),éÁå˚ésóßëÊàÍíÜäwçZ,323.1 m from éÁå˚
POINT (135.560198 34.736568 0.0),ëÂç„ï{óßóÑêÏçHâ»çÇìôäwçZ,436.9 m from éÁå˚
POINT (135.571189 34.736965 0.0),ëÂç„ìdãCí êMëÂäwçÇìôäwçZ,643.9 m from éÁå˚
POINT (135.554695 34.731225 0.0),ëæéqã¥ç°és,
"POLYGON ((135.554695 34.73842, 135.553132 34.738304, 135.551619 34.737961, 135.550205 34.737401, 135.548935 34.736643, 135.54785 34.735711, 135.546986 34.734634, 135.546369 34.733448, 135.54602 34.73219, 135.54595 34.730902, 135.54616 34.729624, 135.546645 34.728397, 135.547389 34.727261, 135.548368 34.726253, 135.54955 34.725404, 135.550897 34.724743, 135.552366 34.72429, 135.55391 34.724059, 135.55548 34.724059, 135.557024 34.72429, 135.558493 34.724743, 135.55984 34.725404, 135.561022 34.726253, 135.562001 34.727261, 135.562745 34.728397, 135.56323 34.729624, 135.56344 34.730902, 135.56337 34.73219, 135.563021 34.733448, 135.562404 34.734634, 135.56154 34.735711, 135.560455 34.736643, 135.559185 34.737401, 135.557771 34.737961, 135.556258 34.738304, 135.554695 34.73842))",ëæéqã¥ç°és 800m radius,
POINT (135.549426 34.732129 0.0),ëÂç„ésóßç°ésíÜäwçZ,491.9 m from ëæéqã¥ç°és
POINT (135.561145 34.726921 0.0),ëÂç„çëç€ëÍà‰çÇìôäwçZ,759.3 m from ëæéqã¥ç°és
POINT (135.560198 34.736568 0.0),ëÂç„ï{óßóÑêÏçHâ»çÇìôäwçZ,778.4 m from ëæéqã¥ç°és
